0095||1
0080||1
0016||1
0003||4
0009||4
0022||4
0023||4
0052||4
0085||4
0099||4
0101||4
0106||4
0109||4
0050||2
0110||3
0072||1
0034||1
0056||1
0038||1
0047||1
0081||1
0017||1
0004||1
0075||1
0113||1
0090||3
0016||1
0018||2
0019||1
0034||1
0076||1
0020||2
0058||1
0049||1
0006||1
0020||1
0026||1
0027||1
0042||1
0049||1
0058||1
0075||1
0116||6
0117||12
0019||1
0060||1
0074||1
0080||1
0127||1
0030||1
0062||1
0119||1
0116||8
0018||1
0030||1
0006||1
0020||1
0036||2
0040||2
0050||1
0058||2
0060||1
0061||1
0070||1
0073||2
0080||1
0097||1
0098||1
0101||1
0119||2
0038||1
0038||1
0028||1
0106||1
0003||2
0036||1
0038||2
0060||2
0080||1
0090||1
0103||1
0048||1
0038||2
0049||2
0063||1
0097||1
0104||2
0120||1
0002||1
0004||1
0009||1
0038||3
0049||1
0052||1
0061||2
0062||1
0063||1
0104||2
0113||1
0117||2
0119||1
0120||1
0004||2
0025||2
0038||3
0049||2
0063||2
0068||2
0102||2
0104||3
0113||2
0117||2
0119||2
0120||2
0107||1
0024||1
0053||1
0054||1
0069||1
0097||2
0112||1
0128||1
0063||2
0120||2
0127||2
0023||1
0063||1
0085||1
0097||2
0120||1
0062||1
0049||1
0063||1
0085||1
0093||1
0119||1
0120||1
0127||1
0002||1
0003||1
0004||1
0005||1
0010||1
0011||1
0012||1
0013||1
0014||1
0017||1
0019||1
0022||1
0023||1
0024||1
0025||1
0028||1
0033||1
0039||1
0045||1
0046||1
0049||2
0052||2
0053||1
0056||1
0063||1
0064||1
0065||1
0066||1
0068||1
0069||1
0071||1
0072||1
0077||1
0079||1
0082||1
0085||1
0092||1
0094||1
0095||1
0096||1
0097||4
0098||1
0102||1
0103||2
0104||3
0105||1
0107||1
0110||1
0113||1
0120||2
0121||1
0128||1
0021||1
0028||1
0065||2
0083||1
0058||1
0058||2
0063||2
0120||2
0054||2
0063||2
0120||2
0119||1
0105||1
0049||1
0112||1
0058||1
0070||1
0061||1
0085||1
0023||1
0038||1
0064||1
0107||1
0105||1
0106||1
0119||1
0124||1
0077||1
0070||1
0060||2
0030||1
0050||1
0025||1
0028||1
0038||1
0049||1
0053||1
0063||1
0064||1
0065||1
0082||1
0086||1
0092||1
0097||2
0105||2
0107||2
0110||1
0112||1
0113||1
0119||1
0120||1
0043||1
0044||1
0047||1
0048||1
0049||2
0050||1
0057||1
0058||1
0070||1
0073||1
0076||1
0080||2
0081||1
0083||1
0084||1
0087||1
0089||1
0090||1
0033||1
0044||1
0049||2
0057||3
0090||2
0124||2
0044||2
0052||1
0058||2
0074||1
0084||1
0090||2
0095||4
0098||1
0033||2
0034||2
0038||4
0069||2
0034||1
0030||1
0042||1
0070||2
0073||1
0083||1
0087||1
0088||1
0095||1
0004||1
0016||4
0021||1
0026||1
0031||1
0049||2
0058||2
0088||2
0095||6
0098||1
0102||1
0071||1
0128||1
0003||1
0060||1
0074||2
0002||16
0003||9
0004||30
0005||31
0006||24
0007||10
0008||11
0009||12
0010||19
0011||18
0012||24
0013||20
0014||12
0016||17
0017||17
0018||26
0019||19
0020||13
0021||20
0022||7
0023||14
0024||17
0025||17
0026||18
0027||22
0028||22
0030||30
0031||12
0032||6
0033||11
0034||17
0035||9
0036||24
0037||16
0038||22
0039||11
0040||25
0042||9
0043||9
0044||15
0045||12
0046||11
0047||19
0048||18
0049||32
0050||26
0052||8
0053||17
0054||8
0055||17
0056||20
0057||19
0058||29
0060||71
0061||13
0062||16
0063||34
0064||22
0065||17
0066||16
0067||8
0068||18
0069||22
0070||18
0071||18
0072||17
0073||20
0074||17
0075||20
0076||12
0077||15
0078||17
0079||19
0080||26
0081||15
0082||16
0083||14
0084||16
0085||19
0086||5
0087||15
0088||7
0089||15
0090||11
0092||24
0093||13
0094||5
0095||24
0096||20
0097||20
0098||16
0099||9
0101||12
0102||11
0103||23
0104||21
0105||16
0106||11
0107||16
0108||12
0109||14
0110||12
0111||13
0112||12
0113||42
0114||32
0115||11
0116||17
0117||14
0118||8
0119||21
0120||36
0121||23
0122||13
0124||38
0126||5
0127||19
0128||14
0129||25
0130||12
0074||1
0012||1
0084||1
0004||2
0056||1
0065||3
0117||2
0076||2
0004||1
0044||2
0120||2
0008||5
0050||2
0113||3
0119||1
0120||1
0030||1
0037||1
0039||1
0053||1
0017||1
0054||1
0002||4
0003||2
0004||15
0005||3
0006||18
0007||6
0008||8
0009||3
0010||3
0011||8
0012||8
0017||7
0018||7
0019||2
0020||11
0021||4
0023||2
0025||2
0026||10
0027||9
0028||7
0030||4
0031||14
0032||8
0033||4
0034||8
0035||4
0036||7
0037||2
0038||11
0039||6
0040||10
0042||6
0044||3
0045||8
0046||11
0047||2
0048||14
0049||10
0050||14
0052||8
0053||12
0054||2
0055||9
0056||11
0057||10
0060||18
0061||18
0062||14
0063||4
0064||3
0065||8
0066||5
0067||3
0069||5
0070||8
0071||10
0072||2
0073||4
0074||13
0075||21
0076||7
0077||2
0078||6
0079||18
0080||8
0081||7
0082||2
0083||4
0084||7
0085||4
0086||7
0087||4
0088||2
0089||2
0090||6
0092||2
0093||2
0095||6
0096||9
0097||17
0101||3
0102||2
0103||4
0104||7
0107||3
0108||4
0111||3
0112||9
0113||11
0114||4
0115||6
0116||9
0117||3
0118||5
0119||6
0120||2
0126||2
0127||5
0129||4
0130||6
0049||2
0090||2
0069||1
0018||1
0117||5
0006||7
0014||1
0024||1
0026||1
0030||2
0053||1
0058||1
0060||1
0063||1
0097||1
0109||1
0127||1
0002||5
0005||7
0011||5
0012||5
0013||5
0014||5
0017||5
0019||5
0024||5
0025||5
0032||4
0045||5
0046||5
0053||5
0060||5
0064||5
0066||5
0068||5
0069||5
0071||5
0072||5
0075||2
0077||5
0079||5
0092||5
0096||5
0098||5
0102||5
0103||5
0104||5
0105||5
0107||5
0108||2
0110||5
0113||2
0114||5
0120||5
0121||5
0122||5
0128||5
0002||1
0044||1
0119||1
0017||1
0065||4
0058||1
0073||1
0079||1
0102||1
0122||1
0128||2
0049||1
0092||1
0102||1
0005||2
0079||10
0040||1
0050||1
0022||2
0045||1
0018||1
0021||1
0038||1
0074||1
0085||1
0113||1
0120||1
0107||1
0026||1
0065||1
0096||1
0011||2
0014||4
0070||1
0098||2
0127||1
0002||2
0039||1
0050||1
0070||1
0075||2
0078||1
0104||1
0111||1
0113||2
0070||3
0049||1
0087||1
0053||1
0128||1
0072||1
0114||2
0081||1
0042||1
0127||1
0026||1
0052||1
0113||1
0002||1
0003||1
0004||1
0005||1
0006||1
0007||1
0008||1
0009||1
0010||1
0011||1
0012||1
0013||1
0014||1
0016||1
0017||1
0018||1
0019||1
0020||1
0021||1
0022||1
0023||1
